0x824f,0
0x8250,1
0x8251,2
0x8252,3
0x8253,4
0x8254,5
0x8255,6
0x8256,7
0x8257,8
0x8258,9
0x8259,
0x825a,
0x825b,
0x825c,
0x825d,
0x825e,
0x825f,
0x8260,A
0x8261,B
0x8262,C
0x8263,D
0x8264,E
0x8265,F
0x8266,G
0x8267,H
0x8268,I
0x8269,J
0x826a,K
0x826b,L
0x826c,M
0x826d,N
0x826e,O
0x826f,P
0x8270,Q
0x8271,R
0x8272,S
0x8273,T
0x8274,U
0x8275,V
0x8276,W
0x8277,X
0x8278,Y
0x8279,Z
0x827a,
0x827b,
0x827c,
0x827d,
0x827e,
0x827f,
0x8280,
0x8281,a
0x8282,b
0x8283,b
0x8284,c
0x8285,d
0x8286,e
0x8287,f
0x8288,g
0x8289,h
0x828a,i
0x828b,j
0x828c,k
0x828d,l
0x828e,m
0x828f,n
0x8290,o
0x8291,p
0x8292,q
0x8293,r
0x8294,s
0x8295,t
0x8296,u
0x8297,v
0x8298,w
0x8299,x
0x829a,y
0x829b,z
0x829c,
0x829d,
0x829e,
0x829f,AA
0x82a0,AA
0x82a1,II
0x82a2,II
0x82a3,UU
0x82a4,UU
0x82a5,EE
0x82a6,EE
0x82a7,OO
0x82a8,OO
0x82a9,KA
0x82aa,GA
0x82ab,KI
0x82ac,GI
0x82ad,KU
0x82ae,GU
0x82af,KE
0x82b0,GE
0x82b1,KO
0x82b2,GO
0x82b3,SA
0x82b4,ZA
0x82b5,SH
0x82b6,JI
0x82b7,SU
0x82b8,ZU
0x82b9,SE
0x82ba,ZE
0x82bb,SO
0x82bc,ZO
0x82bd,TA
0x82be,DA
0x82bf,CH
0x82c0,JI
0x82c1,
0x82c2,TS
0x82c3,ZU
0x82c4,TE
0x82c5,DE
0x82c6,TO
0x82c7,DO
0x82c8,NA
0x82c9,NI
0x82ca,NU
0x82cb,NE
0x82cc,NO
0x82cd,HA
0x82ce,BA
0x82cf,PA
0x82d0,HI
0x82d1,BI
0x82d2,PI
0x82d3,FU
0x82d4,BU
0x82d5,PU
0x82d6,HE
0x82d7,BE
0x82d8,PE
0x82d9,HO
0x82da,BO
0x82db,PO
0x82dc,MA
0x82dd,MI
0x82de,MU
0x82df,ME
0x82e0,MO
0x82e1,YA
0x82e2,YA
0x82e3,YU
0x82e4,YU
0x82e5,YO
0x82e6,YO
0x82e7,RA
0x82e8,RI
0x82e9,RU
0x82ea,RE
0x82eb,RO
0x82ec,WA
0x82ed,WA
0x82ee,WI
0x82ef,WE
0x82f0,WO
0x82f1,NN
0x8340,AA
0x8341,AA
0x8342,II
0x8343,II
0x8344,UU
0x8345,UU
0x8346,EE
0x8347,EE
0x8348,OO
0x8349,OO
0x834a,KA
0x834b,GA
0x834c,KI
0x834d,GI
0x834e,KU
0x834f,GU
0x8350,KE
0x8351,GE
0x8352,KO
0x8353,GO
0x8354,SA
0x8355,ZA
0x8356,SH
0x8357,JI
0x8358,SU
0x8359,ZU
0x835a,SE
0x835b,ZE
0x835c,SO
0x835d,ZO
0x835e,TA
0x835f,DA
0x8360,CH
0x8361,JI
0x8362,
0x8363,TS
0x8364,ZU
0x8365,TE
0x8366,DE
0x8367,TO
0x8368,DO
0x8369,NA
0x836a,NI
0x836b,NU
0x836c,NE
0x836d,NO
0x836e,HA
0x836f,BA
0x8370,PA
0x8371,HI
0x8372,BI
0x8373,PI
0x8374,FU
0x8375,BU
0x8376,PU
0x8377,HE
0x8378,BE
0x8379,PE
0x837a,HO
0x837b,BO
0x837c,PO
0x837d,MA
0x837e,MI
0x837f,
0x8380,MU
0x8381,ME
0x8382,MO
0x8383,YA
0x8384,YA
0x8385,YU
0x8386,YU
0x8387,YO
0x8388,YO
0x8389,RA
0x838a,RI
0x838b,RU
0x838c,RE
0x838d,RO
0x838e,WA
0x838f,WA
0x8390,WI
0x8391,WE
0x8392,WO
0x8393,NN
0x8394,VV
0x8395,KA
0x8396,KU
0x8440,
0x8441,
0x8442,
0x8443,
0x8444,
0x8445,
0x8446,
0x8447,
0x8448,
0x8449,
0x844a,
0x844b,
0x844c,
0x844d,
0x844e,
0x844f,
0x8450,
0x8451,
0x8452,
0x8453,
0x8454,
0x8455,
0x8456,
0x8457,
0x8458,
0x8459,
0x845a,
0x845b,
0x845c,
0x845d,
0x897e,¥
